,T1078.002,T1566.001,T1047,T1053.005,T1204.002,T1547.001,T1137.006,T1574.002,T1036.005,T1036.004,T1018,T1518.001,T1046,T1016
T1078.002,"(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(1.0))","(np.float64(0.19780219780219782), np.float64(0.0))","(np.float64(0.2802197802197802), np.float64(0.0))","(np.float64(0.45054945054945056), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))"
T1566.001,"(np.float64(0.0), np.float64(1.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.19780219780219782), np.float64(0.0))","(np.float64(0.2802197802197802), np.float64(0.0))","(np.float64(0.45054945054945056), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))"
T1047,"(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.38345864661654133))","(np.float64(0.0), np.float64(0.6165413533834586))","(np.float64(0.62708719851577), np.float64(0.0))","(np.float64(0.012059369202226347), np.float64(0.0))","(np.float64(0.2894248608534323), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))"
T1053.005,"(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.3050847457627119))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.6949152542372882))","(np.float64(0.62708719851577), np.float64(0.0))","(np.float64(0.012059369202226347), np.float64(0.0))","(np.float64(0.2894248608534323), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))"
T1204.002,"(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.41379310344827586))","(np.float64(0.0), np.float64(0.5862068965517241))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.62708719851577), np.float64(0.0))","(np.float64(0.012059369202226347), np.float64(0.0))","(np.float64(0.2894248608534323), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))"
T1547.001,"(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.04))","(np.float64(0.0), np.float64(0.96))","(np.float64(0.6107142857142858), np.float64(0.0))","(np.float64(0.24642857142857144), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))"
T1137.006,"(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.6842105263157895))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.3157894736842105))","(np.float64(0.6107142857142858), np.float64(0.0))","(np.float64(0.24642857142857144), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))"
T1574.002,"(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.9811320754716981))","(np.float64(0.0), np.float64(0.018867924528301886))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.6107142857142858), np.float64(0.0))","(np.float64(0.24642857142857144), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))"
T1036.005,"(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(1.0))","(np.float64(0.24685714285714286), np.float64(0.0))","(np.float64(0.15771428571428572), np.float64(0.0))","(np.float64(0.19885714285714287), np.float64(0.0))","(np.float64(0.2537142857142857), np.float64(0.0))"
T1036.004,"(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(1.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.24685714285714286), np.float64(0.0))","(np.float64(0.15771428571428572), np.float64(0.0))","(np.float64(0.19885714285714287), np.float64(0.0))","(np.float64(0.2537142857142857), np.float64(0.0))"
T1018,"(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(1.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.25842696629213485))","(np.float64(0.0), np.float64(0.3258426966292135))","(np.float64(0.0), np.float64(0.4157303370786517))"
T1518.001,"(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.35294117647058826))","(np.float64(1.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.28431372549019607))","(np.float64(0.0), np.float64(0.3627450980392157))"
T1046,"(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.375))","(np.float64(0.0), np.float64(0.23958333333333334))","(np.float64(1.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.3854166666666667))"
T1016,"(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.4090909090909091))","(np.float64(0.0), np.float64(0.26136363636363635))","(np.float64(0.0), np.float64(0.32954545454545453))","(np.float64(1.0), np.float64(0.0))"
